f150_descripcion;f120_referencia;f121_id_barras_principal;f120_descripcion;f117_descripcion_color;f121_id_ext1_detalle;f121_id_ext2_detalle;CATEGORIA;LINEA;MARCA;COLECCION;SECTOR;f400_fecha_ult_entrada;f400_fecha_ult_salida;f400_cant_existencia_1;f400_cant_comprometida_1;f400_cant_pendiente_salir_1;FECHA MINIMA ENTRADA;FECHA MAXIMA ENTRADA;FECHA MINIMA SALIDA;FECHA MAXIMA SALIDA
NUESTRO MONTERIA;PF31330181                                        ;7706718537939;CAPRI GALICIA;AMARILLO MOSTAZA;702;10;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;23/05/2024;24/01/2024;1;0;0;6/01/2022;23/05/2024;6/01/2022;6/01/2022
GUAYABAL 2;PF31330181                                        ;7706718537878;CAPRI GALICIA;ROJO VINO;630;6;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;11/01/2025;09/05/2025;2;0;0;12/01/2024;11/01/2025;12/01/2024;12/01/2024
TERMINAL DEL NORTE;PF31330181                                        ;7706718537878;CAPRI GALICIA;ROJO VINO;630;6;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;22/09/2024;05/02/2025;3;0;0;20/10/2022;22/09/2024;20/10/2022;20/10/2022
TERMINAL DEL NORTE;PF31330181                                        ;7706718537885;CAPRI GALICIA;ROJO VINO;630;8;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;26/04/2023;29/12/2023;2;0;0;24/05/2022;26/04/2023;24/05/2022;24/05/2022
TERMINAL DEL NORTE;PF31330181                                        ;7706718537953;CAPRI GALICIA;AMARILLO MOSTAZA;702;6;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;22/09/2024;23/07/2025;2;0;0;19/10/2022;22/09/2024;19/10/2022;19/10/2022
TERMINAL DEL NORTE;PF31330181                                        ;7706718537915;CAPRI GALICIA;ROSADO PALO DE ROSA;685;6;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;15/11/2024;01/07/2025;2;0;0;19/10/2022;15/11/2024;19/10/2022;19/10/2022
MAYORCA;PF31330181                                        ;7706718537953;CAPRI GALICIA;AMARILLO MOSTAZA;702;6;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;19/07/2023;19/12/2023;2;0;0;5/01/2022;19/07/2023;5/01/2022;5/01/2022
MAYORCA;PF31330181                                        ;7706718537878;CAPRI GALICIA;ROJO VINO;630;6;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;05/09/2024;16/07/2024;5;0;0;5/01/2022;5/09/2024;5/01/2022;5/01/2022
MAYORCA;PF31330181                                        ;7706718537885;CAPRI GALICIA;ROJO VINO;630;8;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;19/07/2023;04/11/2023;3;0;0;5/01/2022;19/07/2023;5/01/2022;5/01/2022
MAYORCA;PF31330181                                        ;7706718537854;CAPRI GALICIA;ROJO VINO;630;10;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;27/12/2023;12/06/2025;1;0;0;5/01/2022;27/12/2023;5/01/2022;5/01/2022
UNICO BARRANQUILLA;PF31330181                                        ;7706718537878;CAPRI GALICIA;ROJO VINO;630;6;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;03/09/2024;09/04/2024;2;0;0;6/01/2022;3/09/2024;6/01/2022;6/01/2022
UNICO BARRANQUILLA;PF31330181                                        ;7706718537885;CAPRI GALICIA;ROJO VINO;630;8;RAGSTYLE;CAPRI;RAGSTYLE                                ;OCTUBRE RAGSTYLE 2021;CAPRI                                   ;09/04/2024;15/03/2025;1;0;0;6/01/2022;9/04/2024;6/01/2022;6/01/2022
JARDIN PLAZA;PF51510110                                        ;7706718541431;VESTIDO FLORENCIA;AZUL MEDIO;420;XS                  ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;12/11/2024;16/02/2025;1;0;0;12/11/2024;12/11/2024;12/11/2024;12/11/2024
FOR ME TOO;PF51510110                                        ;7706718541431;VESTIDO FLORENCIA;AZUL MEDIO;420;XS                  ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;16/07/2025;08/06/2025;9;0;0;9/11/2023;16/07/2025;9/11/2023;9/11/2023
JARDIN PLAZA;PF51510110                                        ;7706718541417;VESTIDO FLORENCIA;AZUL MEDIO;420;S                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;01/04/2025;16/02/2025;3;0;0;12/11/2024;1/04/2025;12/11/2024;12/11/2024
FOR ME TOO;PF51510110                                        ;7706718541417;VESTIDO FLORENCIA;AZUL MEDIO;420;S                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;16/07/2025;08/06/2025;20;0;0;9/11/2023;16/07/2025;9/11/2023;9/11/2023
FOR ME TOO;PF51510110                                        ;7706718541400;VESTIDO FLORENCIA;AZUL MEDIO;420;M                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;18/07/2025;18/07/2025;8;0;0;9/11/2023;18/07/2025;9/11/2023;9/11/2023
